po,partNo,traveler,pot,description,box,quantity,invDate,ps,notes
190921,11612078-B,707323,1037,"4 MC 74 S/P CERT, VCI BAGS",36,66600,2026-08-03 18:00:00,29932,
191398,11549168-CA-IN,710686,158,272 MC 26 S/P,56,56000,2026-08-03 18:00:00,29932,
192696,11546377,714321,722,280 BF 118 S/P,36,77400,2026-08-03 18:00:00,29932,
192696,11546364-MY-AK,714490,176,280 BF 124 S/P,36,126000,2026-08-03 18:00:00,29932,
192696,11546377,714319,864,275 BF 103 S/P,18,38700,2026-08-03 18:00:00,29932,
192696,11546377,714315,1578,275 BF 103 S/P,18,38700,2026-08-03 18:00:00,29932,
192701,W520111-S440,714082,101,275 BF 104 S/P,35,122500,2026-08-03 18:00:00,29932,
192701,W520113-S441,713540,1031,156 BF 116 S/P,36,37800,2026-08-03 18:00:00,29932,
192708,HL3W-4320-AA,713050,377,285+391 TBL 2 S/P IN RETURNABLES,31,6200,2026-08-03 18:00:00,29932,
192737,11546367-MY-AK,714116,814,290 BF 109 S/P,36,25200,2026-08-03 18:00:00,29932,
192737,11546367-MY-AK,714112,117,156 BF 117 S/P,36,25200,2026-08-03 18:00:00,29932,
192745,W711468-S437,712574,526,275 BF 108 S/P,36,57600,2026-08-03 18:00:00,29932,
192761,M1482AC,714417,KIB,11+292 TBL 5 S/P BOLTS,21,4200,2026-08-03 18:00:00,29932,
192761,M1482AC,714414,KIB,157+279 TBL 2 S/P BOLTS,15,3000,2026-08-03 18:00:00,29932,
192761,06101831-A,714508,1426,290 BF 110 S/P,36,36000,2026-08-03 18:00:00,29932,
192796,06509967AA,713926,KIB,245+279 TBL 6 S/P BOLTS,33,27225,2026-08-03 18:00:00,29932,
192796,06509967AA,713928,KIB,252+294 TBL 4 S/P BOLTS,30,24750,2026-08-03 18:00:00,29932,
192796,06509967AA,713927,KIB,285+391 TBL 2 S/P,23,18975,2026-08-03 18:00:00,29932,
192796,06513555AA,714164,100,285+391 TBL 2 S/P BOLTS,30,13200,2026-08-03 18:00:00,29932,
192796,06509967AA,713929,KIB,190+268 TBL 3 S/P BOLTS,19,15675,2026-08-03 18:00:00,29932,
192796,06513555AA,714165,326,245+279 TBL 6 S/P BOLTS,19,8360,2026-08-03 18:00:00,29932,
192804,F1302AB,712964,164,190+268 TBL 3 S/P BOLTS,36,25200,2026-08-03 18:00:00,29932,
192804,F1302AB,712966,868,157+293 TBL 1 S/P BOLTS,30,21000,2026-08-03 18:00:00,29932,
192629,11549168-CA-IN,711865,318,272 MC 26 S/P CERT,36,36000,2026-08-03 18:00:00,29934,
