part,qtyPerBox,client,machine,labelFormat
#10992,10000,summo,,
.4B17THWOX/B,5000,PENN Engineered Fasteners Corp.,,
.4H19RWP0/ABPSO,4500,PENN Engineered Fasteners Corp.,,
.4H19RWPO/ABP,4500,PENN Engineered Fasteners Corp.,,
.5N22PDP0,4000,PENN Engineered Fasteners Corp.,,
.5N35XCM0X,1500,PENN Engineered Fasteners Corp.,,
.5N35XCO/88DOS437M,1500,PENN Engineered Fasteners Corp.,,
.6C15HFB0/PS8,2400,PENN Engineered Fasteners Corp.,,
.8C254KBO0X/109,1200,PENN Engineered Fasteners Corp.,,
02-12-00031,1000,L&M,,
04749164AA,2800,INFASCO,,
06100050,1500,INFASCO,,
06101447,3000,INFASCO,,
06101736,3200,INFASCO,,
06101831,1000,INFASCO,,
06101831',960,Infasco,,
06101968,2200,INFASCO,,
06102398AA,4800,INFASCO,,
06102612AA,1800,Infasco,,
06104384AA,750,INFASCO,,
06104388AA,660,Infasco,,
06104725AA,2800,INFASCO,,
06105048AA,800,INFASCO,,
06105049AA,800,INFASCO,,
06105051AA,620,INFASCO,,
06105102AA,670,INFASCO,,
06502979,750,INFASCO,,
06503825,1500,INFASCO,,
06504080,6000,INFASCO,,
06505246AA,960,INFASCO,,
06505668AA,1050,INFASCO,,
06506707AA,820,INFASCO,,
06508265AA,1250,INFASCO,,
06508711AA,575,INFASCO,,
06508741AA,2100,Infasco,,
06509078AA,250,Infasco,,
06509475AA,450,INFASCO,,
06509598AA,170,Infasco,,
06509787AA,670,INFASCO,,
06509818AA,1000,COLLISON-GOLL,,
06509967AA,825,INFASCO,,
06510210AA,240,INFASCO,,
06510498AA,250,INFASCO,,
06510713AA,3000,Collison goll,,
06510866AA,1900,Infasco,,
06510997AA,75,Infasco,,
06511637AA,1200,Infasco,,
06511672AA,1400,Infasco,,
06511689AA,300,Infasco,,
06511701AA,2300,Infasco,,
06511777AA,410,INFASCO,,
06511799AA,1800,INFASCO,,
06511800AA,550,INFASCO,,
06511834AA,100,Infasco,,
06511847AA,750,Infasco,,
06512104AA,525,INFASCO,,
06512106AA,200,Infasco,,
06512149AA,1300,Infasco,,
06512278AA,1950,Infasco,,
06512313AA,3500,Infasco,,
06512349AA,400,INFASCO,,
06512544AA,750,Infasco,,
06512671AA,400,INFASCO,,
06512686AA,950,INFASCO,,
06512834AA,290,INFASCO,,
06512851AA,1050,Infasco,,
06513399AA,230,INFASCO,,
06513404AA,120,INFASCO,,
06513485AA,2050,INFASCO,,
06513514AA,360,,,
06513554AA,380,INFASCO,,
06513555AA,440,INFASCO,,
06513805AA,460,INFASCO,,
06513904AA,300,INFASCO,,
06513987AA,60,INFASCO,,
06513990AA,60,INFASCO,,
06514056AA,1000,INFASCO,,
06514085AA,330,INFASCO,,
06514094AA,330,INFASCO,,
06514113AA,2100,INFASCO,,
06514141AA,2400,INFASCO,,
06514142AA,430,INFASCO,,
06514149AA,350,INFASCO,,
06514434AA,940,INFASCO,,
06514720AA,1250,INFASCO,,
0654472AA,1400,Infasco,,
07336-54-D01,1350,Infasco,,
10-79087,1800,Infasco,,
100-5829,2000,THOMSON,,
100-5833,2000,Thompson Fasteners,,
100-6164,400,Thompson Fasteners,,
100-6347,100000,THOMSON,,
100-6368,1000,Thomson Fasteners,,
1007415A,5000,R&R rivet,,
10083390,875,Infasco,,
1015463X-03,3000,PENN Engineered Fasteners Corp.,,
1022068,450,Infasco,,
1022168,1100,Infasco,,
1022268,900,Infasco,,
102325,300,i,,
10296897,3000,Collison goll,,
10383,10000,JTF DAVCO,,
10383/10475,10000,JTF Davco,,
10406,5000,JTF Davco,,
10406/10407,5000,JTF Davco,,
10500,8000,Davco,,
10505,1000,Davco,,
10507,2500,JTF Davco,,
10514-505-BX,1400,PENN Engineered Fasteners Corp.,,
1052641-DWG,600,PENN Engineered Fasteners Corp.,,
1059024X02,1500,PENN Engineered Fasteners Corp.,,
1069640X-02,3700,PENN Engineered Fasteners Corp.,,
10856,7000,Summo,,
10992,10000,Summo Steel,,
10C50MPX0,8000,PENN Engineered Fasteners Corp.,,
11221648,1950,INFASCO,,
11263,10000,Summo,,
113900048,900,Infasco,,
114005BS,15000,PENN Engineered Fasteners Corp.,,
11418,4000,Summo Steel,,
11502717,1300,Infasco,,
11502717-TN-TC,1300,,,
11514517,2200,Infasco,,
11514596,2500,Infasco,,
11514597,1300,Infasco,,
11514598,700,Infasco,,
11515744,800,Infasco,,
11515889,1500,Infasco,,
11516072,2200,Infasco,,
11516073,1200,Infasco,,
11516074,700,Infasco,,
11516076,2200,Infasco,,
11516077,1200,Infasco,,
11516077BR,1200,INFASCO,,
11516078,700,Infasco,,
11516133,500,Infasco,,
11516382,450,Infasco,,
11516383,300,Infasco,,
11516650,800,Infasco,,
11516754,650,Infasco,,
11516755,500,Infasco,,
11516781,800,Infasco,,
11516782,500,Infasco,,
11516783,350,Infasco,,
11516784,250,Infasco,,
11517068,5000,Infasco,,
11517665,3000,Infasco,,
11517996,1200,Infasco,,
11518428,1200,Infasco,,
11518532,1400,Infasco,,
11518565,500,Magnum 2000,,
11519114,600,Infasco,,
11546333,800,INFASCO,,
11546335,3500,Infasco,,
11546364,3500,Infasco,,
11546364-PH-RO,3500,INFASCO,,
11546365,1900,Infasco,,
11546365-PH-RO,3500,INFASCO,,
11546366,1000,Infasco,,
11546367,700,Infasco,,
11546368,450,Infasco,,
11546369,300,Infasco,,
11546370,220,Infasco,,
11546377,2150,Infasco,,
11546377-PH-RO,2150,INFASCO,,
11546377BR,2000,INFASCO,,
11546378,1250,Infasco,,
11546378-CA,1250,,,
11546378CH,1250,INFASCO,,
11546379,700,Infasco,,
11546388,6750,Infasco,,
11546389,4500,Infasco,,
11546389-PH-RO,4500,INFASCO,,
11546389BR,3900,INFASCO,,
11546389BR-PH-RO,3900,,,
11546391,4500,Infasco,,
11546437,1500,Infasco,,
11546438,1200,Infasco,,
11546439,2500,Infasco,,
11546440,1550,Infasco,,
11546448,3300,Infasco,,
11546449,2500,Infasco,,
11546456,2700,Infasco,,
11546462,650,Infasco,,
11546463,450,Infasco,,
11546465,1100,Infasco,,
11546545,2500,Infasco,,
11546546,1600,Infasco,,
11546566,1800,Infasco,,
11546571,1550,Infasco,,
11546593,700,Infasco,,
11546656,1500,Infasco,,
11546676M,2000,Infasco,,
11546703,4000,Infasco,,
11546774,450,Infasco,,
11546860,3000,Infasco,,
11547059,550,Infasco,,
11547090,830,Infasco,,
11547103,275,Infasco,,
11547139,700,Infasco,,
11547176,850,Infasco,,
11547205,700,Infasco,,
11547274,4000,Infasco,,
11547327,800,Infasco,,
11547349,350,Infasco,,
11547369,250,Infasco,,
11547417,2500,Infasco,,
11547423,875,Infasco,,
11547509,550,Infasco,,
11547684,375,Infasco,,
11547685,225,Infasco,,
11547763,1800,Infasco,,
11547830,275,Infasco,,
11547929,3000,Infasco,,
11547985,1250,Infasco,,
11548144,650,Infasco,,
11548147,250,Infasco,,
11548357,800,INFASCO,,
11548360,800,Infasco,,
11548414,485,Infasco,,
11548453,250,Infasco,,
11548535,150,Infasco,,
11548630,1000,Infasco,,
11548875,1300,Infasco,,
11549058,2450,Infasco,,
11549168,1000,Infasco,,
11549168-IN-BA,1000,INFASCO,,
11549168-VN-VT,1000,,,
11549168CH,1000,INFASCO,,
11549169,660,Infasco,,
11549169-M12NUT-002,660,Infasco,,
11549170,400,Infasco,,
11549171,280,Infasco,,
11549204,210,Infasco,,
11549368,1000,Infasco,,
11549637,900,Infasco,,
11561114,400,Infasco,,
11561395,2500,Infasco,,
11561645,4000,Infasco,,
11561662,1100,Infasco,,
11562338,2000,Infasco,,
11562515,1900,Infasco,,
11569605,1500,Infasco,,
11569637,900,Infasco,,
11569638,800,Infasco,,
11569655,250,Infasco,,
11588293,1150,Infasco,,
11588325,500,Infasco,,
11588560,700,Infasco,,
11588709,2200,Infasco,,
11588714,1400,Infasco,,
11601733,5100,Infasco,,
11601873,550,Infasco,,
11602023,1350,Infasco,,
11602031,145,Infasco,,
11602292,1000,Infasco,,
11602326,120,Infasco,,
11602545,215,INFASCO,,
11602659,550,Infasco,,
11602718,8000,Infasco,,
11602858,800,INFASCO,,
11602888,425,Infasco,,
11602904,1200,Infasco,,
11603225,2000,Infasco,,
11603389,700,Infasco,,
11603904,600,Infasco,,
11603941,440,INFASCO,,
11604000,585,Infasco,,
11604143,6500,Infasco,,
11604183,370,Infasco,,
11604439,700,Infasco,,
11604820,330,INFASCO,,
11604852,550,INFASCO,,
11609204,210,Infasco,,
11609208,2000,Infasco,,
11609279,4000,Infasco,,
11609280,2000,Infasco,,
11609411,3000,Infasco,,
11609486,200,Infasco,,
11609618,800,Infasco,,
11609688,700,PENN Engineered Fasteners Corp.,,
11609746,2200,Infasco,,
11609789,3600,Infasco,,
11609789-IN-MR,3600,,,
11609826,175,Infasco,,
11610091,2500,Infasco,,
11610091S,2000,Infasco,,
11610091T,2500,Infasco,,
11610122,1200,Infasco,,
11610126,1200,Infasco,,
11610126-BR,1200,,,
11610128,1125,Infasco,,
11610376,900,Infasco,,
11610535,800,Infasco,,
11610544,2000,L&M Fasteners Inc.,,
11610762,1400,PENN Engineered Fasteners Corp.,,
11611121,1300,Infasco,,
11611122,1850,Infasco,,
11611431,475,Infasco,,
11611548,100,Infasco,,
11611653,800,Infasco,,
11611883,5500,Infasco,,
11611883-CA-VQ,5500,INFASCO,,
11611887,7600,Infasco,,
11611960,8000,Infasco,,
11611990,800,Infasco,,
11612025,2500,Infasco,,
11612078,1850,Infasco,,
11612234,1100,Infasco,,
11612261,300,Infasco,,
11612292,1000,Infasco,,
11739913,1200,Infasco,,
1200-01255Z,10000,SUPER FINISH,,
12627013,300,pmg indiana corp,,
1290570,1300,Jobal,,
13228-0022,2100,Infasco,,
1360567,500,JOBAL,,
1400,1400,Infasco,,
1400-N,1400,Infasco,,
140017,2600,commercial spring,,
140019,2500,,,
1401-N,1100,Infasco,,
1420503001,1500,Infasco,,
1454548-00,850,Infasco,,
15017238,400,Infasco,,
15046285,250,Infasco,,
15047163,2000,Infasco,,
1568517,2700,Infasco,,
15685170,2700,Infasco,,
1569605,1500,Infasco,,
15997322,600,INFASCO,,
160317P5,1000,GH Precision Products Inc.,,
1732238-6,3500,Sigma Moulders,,
18001,10000,TARUNSIKA,,
1910058100,300,FLEX N GATE,,
1910065101,3000,FLEX N GATE,,
1910066101,3000,FLEX N GATE,,
1910067101,3000,FLEX N GATE,,
1910070101,3000,FLEX N GATE,,
1920033002,1500,DYNAPLAS,,
1920111001,4000,FLEX N GATE,,
1920135000,600,FLEX N GATE,,
19810,650,Infasco,,
1K2GZ0-00,4500,Infasco,,
200393508,1200,Infasco,,
2003935508,1200,,,
20272971,5000,Focus Machine,,
20SM3-N100-0015,1200,INFASCO,,
22275103AA,1200,Infasco,,
2275103AA,1200,Infasco,,
22764042,250,Infasco,,
22800396,1300,Infasco,,
24259084,1000,OmniLink,,
24427844,750,Infasco,,
2452945-AB,500,QSS,,
