traveler,partNo,pot,weight,pieces,po,date,labelFormat,finalLot,note,shipped,ps
11546368-my-ak,714105,339,,,,2026-08-14,,6-224-25-D,,,
171647,11546389-PH-RO-T,1060,1050,136364,193611,2026-09-01,,,,0,0
176287,117546774-MY-AK,1346,993,13753,193665,2026-09-01,,6-243-36-D,,0,0
660087,55718-S2,1098,1369,41000,193262,2026-08-18,,6-230-39-A,,Shipped,30006
660088,55718-S2,1713,1069,32000,193262,2026-08-18,,6-230-39-B,,Shipped,30008
660149,91054CH,36 CTNS,1077,61200,181897,2025-11-07,,5-354-16-C,,0,0
670132,N620482-S2,568,712,25070,181458,2025-10-21,,INFASCO,,0,0
671620,91054,7CTNS,209,11900,181897,2025-11-07,,5-014-15-A,,0,0
676312,11612078-B,243,1311,74489,180092,2025-08-27,,5-239-19-C,,0,0
676584,06100050-A,1552,1156,61489,181112,2025-10-07,,5-272-31-a,,0,0
681306,11612078-B,475,1021,58000,181022,2025-10-03,,5-275-16-A,,0,0
684286,11612078-B,1699,1167,66307,180092,2025-08-27,,5-239-19-A,,0,0
685327,11546377BR,681,1044,67792,181873,2025-11-07,,TRAVELERRECEIVED,,0,0
686566,11612078-B,1701,1285,73000,181861,2025-11-05,,5-307-37-A,,0,0
686571,11546364,1618,750,90361,181929,2025-11-10,,TRAVELERRECEIVED,RED TRAVELER,0,0
686574,11546364,1019,925,111446,181929,2025-11-10,,TRAVELERRECEIVED,RED TRAVELER,0,0
686591,11612078-B,239,1320,75000,181362,2025-10-16,,5-28835-B,,0,0
686933,11549168-B,1046,1160,40845,181144,2025-10-08,,TRAVELERRECEIVED,,0,0
686935,11549168-B,48,1221,43000,181144,2025-10-08,,TRAVELERRECEIVED,,0,0
686936,11549168-B,1326,1221,43000,181144,2025-10-08,,TRAVELERRECEIVED,,0,0
687133,11612078-B,762,1408,80000,181861,2025-11-05,,5-307-36-A,,0,0
687873,11612078-B,1316,1197,68000,181861,2025-11-05,,5-307-35-A,,0,0
687902,11549168-B,1553,1136,40000,181144,2025-10-08,,TRAVELERRECEIVED,,0,0
687904,11549168-B,855,1164,41000,181356,2025-10-16,,TRAVELERRECEIVED,,0,0
687906,11549168-B,15,1250,44000,181851,2025-11-06,,TRAVELERRECEIVED,,0,0
687907,11549168-B,839,1136,40000,181851,2025-11-06,,TRAVELERRECEIVED,,0,0
688059,91054CH,15 CTNS,1167,66300,181897,2025-11-07,,5-290-19-A,,0,0
688378,91054CH,39 CTNS,1167,66300,181897,2025-11-07,,5-290-19-B,,0,0
688756,11546370,221,1127,7564,181208,2025-10-10,,TRAVELERRECEIVED,,0,0
688785,11549168-B,1083,1250,44000,181851,2025-11-06,,TRAVELERRECEIVED,,0,0
688787,11549168-B,496,1306,46000,181851,2025-11-06,,TRAVELERRECEIVED,,0,0
688789,11549168-B,834,1164,41000,181851,2025-11-06,,TRAVELERRECEIVED,,0,0
688790,11549168-B,1369,1250,44000,181851,2025-11-06,,TRAVELERRECEIVED,,0,0
689010,W520111-S440,1003,1204,98689,181458,2025-10-21,,SORT & RETURN,WAS P3001650,0,0
689047,11546367-B,434,1133,24366,181873,2025-11-07,,TRAVELERRECEIVED,,0,0
689123,11546368-B,752,1206,16612,182045,2025-11-14,,TRAVELERRECEIVED,,0,0
689180,11548535,41CTNS,1230,6150,182026,2025-11-13,,5-294-28-D,,0,0
689440,06511672AA,503,889,36138,181861,2025-11-05,,5-310-31-A,,0,0
689607,11546364-MY-AK,1581,191,23000,181873,2025-11-07,,TRAVELERRECEIVED,,0,0
689931,W520111-S440,453,1124,135422,181406,2025-10-20,,TRAVELERRECEIVED,DOUBLE SORT,0,0
689987,11549168-B,828,1278,45000,181851,2025-11-06,,TRAVELERRECEIVED,,0,0
690011,NU6100-B,729,1096,14517,182064,2025-11-14,,,,0,0
690016,NU6100-B,673,1093,14477,182064,2025-11-14,,,,0,0
690062,11611883,1373,728,125517,181586,2025-10-27,,5-293-50-A,,0,0
690079,11611883,1684,765,131897,181586,2025-10-27,,5-293-53-B,,0,0
690080,11611883,1066,711,122586,181586,2025-10-27,,5-293-54-A,,0,0
690142,11546370,306,1071,7188,181978,2025-11-12,,TRAVELERRECEIVED,,0,0
690147,91058,414,1188,41831,182073,2025-11-14,,5-315-20-a,,0,0
690148,91058,815,1126,39648,182073,2025-11-14,,5-315-20-b,,0,0
