traveler,partNo,pot,forecastPieces,receivedPieces,receivedBoxQty,receivedWeight,receiveDate,receivedBy,note,createdAt
660087,55718-S2,1098,41000,41000,,,2026-08-18,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
660088,55718-S2,1713,32000,32000,,,2026-08-18,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
703121,11612078-B,1665,60000,60000,,,2026-08-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
703943,11610091-CA-IN,1503,77273,77273,,,2026-08-05,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
704978,11549168-CA-IN,742,44000,44000,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
705483,11549168-CA-IN,900,42000,42000,,,2026-08-04,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
705986,11612078-B,134,70000,70000,,,2026-06-12,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
705988,11612078-B,287,73000,73000,,,2026-06-12,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
706811,11612078-B,1026,66000,66000,,,2026-06-12,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
707097,11561645-MY-AK,727,15690,15690,,,2026-08-05,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
707325,11612078-B,1391,74000,74000,,,2026-08-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
707328,11612078-B,800,70000,70000,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
707555,11549168-CA-IN,950,42000,42000,,,2026-08-18,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
707998,11549168-CA-IN,533,42000,42000,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
708437,11612078-B,815,70000,70000,,,2026-06-30,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
708641,11549168-CA-IN,637,42000,42000,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
708734,11549168-CA-IN,435,42000,42000,,,2026-07-08,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
708736,11549168-CA-IN,9,30000,30000,,,2026-08-04,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
708737,11549168-CA-IN,1301,37000,37000,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
708738,11549168-CA-IN,62,46000,46000,,,2026-07-08,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
708873,11612078-B,843,70000,70000,,,2026-07-02,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
708874,11612078-B,767,65000,65000,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
708875,11612078-B,70,68000,68000,,,2026-06-30,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
708876,11612078-B,1015,76000,76000,,,2026-07-02,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
708877,11612078-B,1668,78000,78000,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
708929,PZ18-7P483-AA,34 TOTES,6630,6630,,,2026-07-13,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
709055,11612078-B,553,72000,72000,,,2026-07-02,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
709056,11612078-B,1614,69000,69000,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
709057,11612078-B,386,72000,72000,,,2026-07-28,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
709059,11612078-B,1440,74000,74000,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
709060,11549168-CA-IN,127,42000,42000,,,2026-07-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
709062,11549168-CA-IN,662,45000,45000,,,2026-07-08,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
709064,11549168-CA-IN,1050,40000,40000,,,2026-07-08,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
709332,11546367-CA-IN,1672,28485,28485,,,2026-06-25,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
709534,11549168-CA-IN,539,45000,45000,,,2026-07-08,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
709535,11549168-CA-IN,1366,45000,45000,,,2026-07-08,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
709537,11549168-CA-IN,858,42000,42000,,,2026-07-08,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
709995,E6267AB,1PC,23885,23885,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710142,06511672AA,519,32026,32026,,,2026-08-11,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710150,11612078-B,1566,72000,72000,,,2026-09-14,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710153,11612078,157,60000,60000,,,2026-09-03,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710173,11612078-B,785,70000,70000,,,2026-07-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710174,11612078-B,906,70000,70000,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710176,11612078-B,1582,75000,75000,,,2026-09-14,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710203,W20-1028-010,531,64000,64000,,,2026-06-04,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710204,W20-1028-010,805,70000,70000,,,2026-06-04,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710209,W20-1028-010,24,55000,55000,,,2026-06-04,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710211,W20-1028-010,759,70000,70000,,,2026-06-19,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710214,W20-1028-010,545,62000,62000,,,2026-06-19,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710241,91058,592,42761,42761,,,2026-06-25,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710251,11516133,1439,14683,14683,,,2026-07-02,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710252,11516133,1014,15850,15850,,,2026-07-02,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710271,W520514-S442,523,43218,43218,,,2026-06-26,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
